read_assignment	reads_assigned	sample_ID
ambiguous	3	A6J29E.p1685
ambiguous	4	BZDXKG.p1685
ambiguous	3	C8235V.p1685
ambiguous	1	CDYX3Y.p1685
H1N1	12	CEF4YE.p1685
ambiguous	2	CEF4YE.p1685
H1N1	17	M3QX66.p1685
ambiguous	2	M3QX66.p1685
H1N1	54	QMMGRG.p1685
ambiguous	1	QMMGRG.p1685
ambiguous	6	RJ35SE.p1685
H1N1	34	TR2QNP.p1685
ambiguous	1	TR2QNP.p1685
ambiguous	3	VXGZWG.p1685
ambiguous	1	WHHY5N.p1685
ambiguous	11	WQFGAU.p1685
ambiguous	3	WQP752.p1685
ambiguous	5	xEWUE6.p1685
ambiguous	4	YSDPKA.p1685
ambiguous	6	EFC3GX.p1700
ambiguous	4	J23MRN.p1700
H1N1	7	L22EF6.p1700
ambiguous	4	L22EF6.p1700
ambiguous	8	MCRYW3.p1700
ambiguous	3	MV9JC2.p1700
ambiguous	13	NLDKA7.p1700
ambiguous	12	NY4ADA.p1700
ambiguous	7	S8KPUK.p1700
H1N1	11	S9FPA8.p1700
ambiguous	4	SGN58E.p1700
ambiguous	13	SP7D5H.p1700
ambiguous	7	SPSU9B.p1700
ambiguous	4	V84RTW.p1700
ambiguous	11	WFRXK3.p1700
ambiguous	1	YDLQU6.p1700
ambiguous	7	ALDQSW.p1716
ambiguous	11	B5FZVW.p1716
ambiguous	3	C2SPP5.p1716
H3N2	4	C2X842.p1716
ambiguous	2	C2X842.p1716
ambiguous	5	CFV56Q.p1716
H3N2	26	CTAT87.p1716
ambiguous	4	CUDTQK.p1716
H1N1	28	DBEVFA.p1716
ambiguous	4	DMR3YV.p1716
ambiguous	5	EEUGF4.p1716
ambiguous	7	EYHRZ2.p1716
ambiguous	1	F74VSA.p1716
ambiguous	11	F7LL7N.p1716
ambiguous	8	GKR8L3.p1716
ambiguous	7	J4NZ68.p1716
H1N1	2	JMEPVJ.p1716
H1N1	24	JS26MJ.p1716
ambiguous	6	JS26MJ.p1716
ambiguous	3	LV2SUJ.p1716
H1N1	7	ML8U3B.p1716
ambiguous	1	NCTEUL.p1716
ambiguous	4	NFFJ3J.p1716
ambiguous	6	NTG9TN.p1716
ambiguous	7	P98QR2.p1716
ambiguous	5	PE2BQH.p1716
ambiguous	6	QF8S55.p1716
ambiguous	2	RNGS7T.p1716
ambiguous	4	S4NUFU.p1716
ambiguous	3	T8UBA7.p1716
ambiguous	2	TTR8QC.p1716
ambiguous	5	TU98NV.p1716
ambiguous	2	XDLKRF.p1716
H1N1	2	YSXHHY.p1716
ambiguous	3	YSXHHY.p1716
ambiguous	2	Z9L2GB.p1716
ambiguous	4	A2C7R3.p1732
H1N1	6	AEGZHZ.p1732
ambiguous	13	AEGZHZ.p1732
ambiguous	1	AUKKZE.p1732
ambiguous	6	AVX957.p1732
ambiguous	5	B4UMN5.p1732
ambiguous	3	B5PU6J.p1732
ambiguous	10	C8WQVL.p1732
ambiguous	6	EDC4PR.p1732
H1N1	40	EG2H55.p1732
H3N2	4	EGDKKA.p1732
ambiguous	4	EGDKKA.p1732
ambiguous	4	EGM3NF.p1732
ambiguous	4	ELS3UY.p1732
H3N2	80	EUGYU5.p1732
ambiguous	17	EUGYU5.p1732
ambiguous	3	FGYQ3Z.p1732
H1N1	6	GJWGBY.p1732
ambiguous	8	GJWGBY.p1732
ambiguous	2	GUR8GW.p1732
H1N1	4	H8YE7D.p1732
ambiguous	5	H8YE7D.p1732
ambiguous	1	HDUZAN.p1732
ambiguous	3	HKB6EQ.p1732
ambiguous	3	HPF4ZX.p1732
ambiguous	9	HYBRID-CONTROL.p1732
ambiguous	23	J9F7HR.p1732
H1N1	6	JB3VBK.p1732
ambiguous	6	JC4N9S.p1732
ambiguous	1	K2FRR5.p1732
ambiguous	4	K4YU8Y.p1732
ambiguous	7	KJ6457.p1732
H1N1	59	KL43LR.p1732
ambiguous	1	M2VEVU.p1732
ambiguous	11	MHDYGQ.p1732
ambiguous	13	MJXGMG.p1732
H1N1	55	MQ5JRW.p1732
ambiguous	5	MQ5JRW.p1732
H1N1	14	MUZVNN.p1732
ambiguous	18	MYVC2T.p1732
ambiguous	5	MZX3EM.p1732
ambiguous	3	NO-HYBRIDIZATION-CONTROL.p1732
ambiguous	6	NXC9KW.p1732
H1N1	63	S4B6HT.p1732
ambiguous	7	S4B6HT.p1732
ambiguous	10	SDKA2M.p1732
ambiguous	11	T4EBU7.p1732
H1N1	75	TMZ8MD.p1732
H1N2	1	TMZ8MD.p1732
H3N5	1	TMZ8MD.p1732
ambiguous	43	TMZ8MD.p1732
ambiguous	5	TWHWWM.p1732
ambiguous	5	ULJ9KV.p1732
ambiguous	5	UYLB2W.p1732
ambiguous	6	V8QMBW.p1732
ambiguous	11	VHRUPZ.p1732
H1N1	5	WWFQZP.p1732
H1N1	61	WY8GTA.p1732
ambiguous	8	WY8GTA.p1732
ambiguous	11	WYR9ZS.p1732
H1N1	25	X8ZSN3.p1732
ambiguous	1	XC7P3F.p1732
ambiguous	16	XZEXLS.p1732
ambiguous	3	YY6KKF.p1732
ambiguous	5	ZHUB2Y.p1732
H3N2	4	ZW5Q4T.p1732
ambiguous	1	ZXRCTT.p1732
H1N1	6	AL8S8K.p1763
ambiguous	2	BE9BPP.p1763
H1N1	3	BRTRV6.p1763
H1N1	7	CNTEXH.p1763
H1N1	8	DCH566.p1763
H1N2	1	DCH566.p1763
H3N2	1	DCH566.p1763
ambiguous	3	DCH566.p1763
H1N1	2	EJNRJS.p1763
H1N1	25	ELALGB.p1763
ambiguous	4	ELALGB.p1763
ambiguous	4	FBNDBK.p1763
H3N2	4	G2SQEA.p1763
ambiguous	4	G2SQEA.p1763
H1N1	58	HQESVD.p1763
ambiguous	2	HQESVD.p1763
H3N2	3	J5BALT.p1763
ambiguous	2	J5BALT.p1763
ambiguous	1	JB29KY.p1763
ambiguous	3	JBG79W.p1763
ambiguous	1	JHWHWB.p1763
H1N1	10	K9QUDW.p1763
ambiguous	1	KZYD7K.p1763
H1N1	6	L9FY6A.p1763
ambiguous	10	L9FY6A.p1763
H1N1	23	LMZRL4.p1763
ambiguous	4	LMZRL4.p1763
ambiguous	5	MDVLXA.p1763
H1N1	15	QSQTH5.p1763
H3N2	2	QSR8HP.p1763
ambiguous	3	QSR8HP.p1763
ambiguous	2	QXWHMY.p1763
H1N1	10	R5VQNJ.p1763
ambiguous	5	R5VQNJ.p1763
H1N1	35	TWJ4MP.p1763
ambiguous	6	U3FHXV.p1763
ambiguous	1	V5AZDZ.p1763
ambiguous	2	V6HXBV.p1763
H1N1	15	WMVP9B.p1763
H3N2	8	WMVP9B.p1763
ambiguous	3	WMVP9B.p1763
H1N1	1	WSRGM5.p1763
ambiguous	5	WSRGM5.p1763
H1N1	31	WUQU94.p1763
ambiguous	12	WUQU94.p1763
ambiguous	2	XL5EJ3.p1763
H1N1	2	XRB9YF.p1763
H1N1	6	XVLAYZ.p1763
H1N1	31	Y7XGDQ.p1763
ambiguous	6	Y7XGDQ.p1763
ambiguous	3	YGA5WW.p1763
H1N1	18	YY3JZ5.p1763
ambiguous	2	YY3JZ5.p1763
H1N1	69	ASSW6R.p1765
ambiguous	3	ASSW6R.p1765
H1N1	12	C3UJZV.p1765
ambiguous	5	C3UJZV.p1765
H1N1	17	DEQHJ5.p1765
ambiguous	9	DEQHJ5.p1765
H1N1	55	DYYC9R.p1765
ambiguous	7	DYYC9R.p1765
H1N1	26	EGPE2N.p1765
