"WWTP","Date","copiesperL","flow_rate_value"
"69th Street",2021-04-17,8018.50192922891,80.03
"69th Street",2021-04-18,7818.47151119653,80.03
"69th Street",2021-04-19,7633.75360381276,80.03
"69th Street",2021-04-20,7463.75161272472,80.03
"69th Street",2021-04-21,7307.48408249237,80.03
"69th Street",2021-04-22,7164.04768685458,80.03
"69th Street",2021-04-23,7032.62059289788,80.03
"69th Street",2021-04-24,6912.4539011187,80.03
"69th Street",2021-04-25,6802.86555412499,80.03
"69th Street",2021-12-25,160912.861537307,80.03
"69th Street",2021-12-26,174964.188991473,80.03
"69th Street",2021-12-27,189216.231223332,80.03
"69th Street",2021-12-28,203430.922279635,80.03
"69th Street",2021-12-29,217331.900620013,80.03
"69th Street",2021-12-30,230609.125042919,80.03
"69th Street",2021-12-31,242926.312602694,80.03
"69th Street",2022-01-01,253931.318702591,80.03
"69th Street",2022-01-02,263269.529947507,80.03
"69th Street",2022-01-03,270656.067866741,80.03
"69th Street",2022-01-04,275969.742297017,80.03
"69th Street",2022-01-05,279159.818974961,80.03
"69th Street",2022-01-06,280229.168418273,80.03
"69th Street",2022-01-07,279231.222705891,80.03
"69th Street",2022-01-08,276265.121102655,80.03
"69th Street",2022-01-09,271469.353100652,80.03
"69th Street",2022-01-10,265014.384949463,80.03
"69th Street",2022-01-11,257094.74988227,80.03
"69th Street",2022-01-12,247921.001740841,80.03
"69th Street",2021-01-15,49502.180343413,80.03
"69th Street",2021-01-16,46391.0954750526,80.03
"69th Street",2021-01-17,43421.6555624493,80.03
"69th Street",2021-01-18,40603.346380677,80.03
"69th Street",2021-01-19,37942.2663171569,80.03
"69th Street",2021-01-20,35441.5704812589,80.03
"69th Street",2021-01-21,33101.9179634412,80.03
"69th Street",2021-01-22,30921.8983399631,80.03
"69th Street",2021-01-23,28898.4259459492,80.03
"69th Street",2021-01-24,27027.1061923028,80.03
"69th Street",2021-01-25,25302.5626016662,80.03
"69th Street",2022-01-23,121217.38980309,80.03
"69th Street",2022-01-24,111172.414508736,80.03
"69th Street",2022-01-25,101718.853862097,80.03
"69th Street",2022-01-26,92875.1285813287,80.03
"69th Street",2022-01-27,84647.1164130061,80.03
"69th Street",2022-01-28,77030.1791719074,80.03
"69th Street",2022-01-29,70011.0946444951,80.03
"69th Street",2022-01-30,63569.8663008012,80.03
"69th Street",2022-01-31,57681.3475798166,80.03
"69th Street",2022-02-01,52316.7091557911,80.03
"69th Street",2022-02-02,47444.6260582731,80.03
"69th Street",2022-02-03,43030.3033795181,80.03
"69th Street",2022-02-04,39036.7674976148,80.03
"69th Street",2022-02-05,35428.6625682969,80.03
"69th Street",2022-02-06,32172.6295274675,80.03
"69th Street",2022-02-07,29237.3931747543,80.03
"69th Street",2022-02-08,26593.8030452482,80.03
"69th Street",2022-02-09,24214.827412723,80.03
"69th Street",2022-02-10,22075.5152033151,80.03
"69th Street",2022-02-11,20152.9333239407,80.03
"69th Street",2022-02-12,18426.0844818254,80.03
"69th Street",2022-02-13,16875.8100346539,80.03
"69th Street",2022-02-14,15484.6858186681,80.03
"69th Street",2022-02-15,14236.9112594003,80.03
"69th Street",2022-02-16,13118.197588435,80.03
"69th Street",2022-02-17,12115.6580678475,80.03
"69th Street",2021-06-21,11773.6653660612,80.03
"69th Street",2021-06-22,12258.0471645974,80.03
"69th Street",2021-06-23,12785.4526453713,80.03
"69th Street",2021-06-24,13360.3193155701,80.03
"69th Street",2021-06-25,13987.6310362416,80.03
"69th Street",2021-06-26,14672.9966379307,80.03
"69th Street",2021-06-27,15422.1711344441,80.03
"69th Street",2021-06-28,16239.2230884795,80.03
"69th Street",2021-06-29,17127.8561970629,80.03
"69th Street",2021-06-30,18091.8858129295,80.03
"69th Street",2021-07-01,19135.1882017119,80.03
"69th Street",2021-07-02,20261.6462188789,80.03
"69th Street",2020-08-10,6393.58477501636,80.03
"69th Street",2020-08-11,6327.7325963894,80.03
"69th Street",2020-08-12,6276.07273408463,80.03
"69th Street",2020-08-13,6237.8329200833,80.03
"69th Street",2020-08-14,6212.26392202764,80.03
"69th Street",2020-08-15,6198.70413669485,80.03
"69th Street",2020-08-16,6196.56840098218,80.03
"69th Street",2020-08-17,6205.33722647987,80.03
"69th Street",2020-08-18,6224.5476806857,80.03
"69th Street",2020-08-19,6253.78502238177,80.03
"69th Street",2020-08-20,6292.67508495067,80.03
"69th Street",2020-08-21,6340.87713407062,80.03
"69th Street",2020-08-22,6398.07796604735,80.03
"69th Street",2021-04-26,6703.23350288229,80.03
"69th Street",2021-04-27,6612.9897267461,80.03
"69th Street",2021-04-28,6531.61560604884,80.03
"69th Street",2021-04-29,6458.63702683924,80.03
"69th Street",2021-04-30,6393.62084346194,80.03
"69th Street",2021-05-01,6336.17039585447,80.03
"69th Street",2020-08-29,7027.13890074007,80.03
"69th Street",2020-08-30,7146.42512793128,80.03
"69th Street",2020-08-31,7272.19554063381,80.03
"69th Street",2020-09-01,7404.11401930393,80.03
"69th Street",2020-09-02,7541.81661555492,80.03
"69th Street",2020-09-03,7684.90720949057,80.03
"69th Street",2020-07-26,9324.65683742346,80.03
"69th Street",2020-07-27,8995.14871882594,80.03
"69th Street",2020-07-28,8688.40922473675,80.03
"69th Street",2020-07-29,8403.40099983394,80.03
"69th Street",2020-07-30,8139.15497893357,80.03
"69th Street",2020-07-31,7894.76919822201,80.03
"69th Street",2020-08-01,7669.41022310146,80.03
"69th Street",2020-08-02,7462.31174312377,80.03
"69th Street",2020-08-03,7272.7757727997,80.03
"69th Street",2020-08-04,7100.17246596109,80.03
"69th Street",2020-08-05,6943.94013465906,80.03
"69th Street",2020-08-06,6803.58677105331,80.03
"69th Street",2020-08-07,6678.689422316,80.03
"69th Street",2020-08-08,6568.8969368646,80.03
"69th Street",2020-08-09,6473.9301310193,80.03
"69th Street",2021-05-23,6481.49795035178,80.03
"69th Street",2021-05-24,6537.44274039191,80.03
"69th Street",2021-05-25,6596.82036291553,80.03
"69th Street",2021-05-26,6659.89141005973,80.03
"69th Street",2021-05-27,6727.07110250794,80.03
"69th Street",2021-05-28,6798.79518284795,80.03
